Date,Adj Close,Close,High,Low,Open,Volume
,SMH,SMH,SMH,SMH,SMH,SMH
2024-01-17,173.3300323486328,174.63999938964844,174.92999267578125,171.49000549316406,174.47999572753906,6751200
2024-01-18,178.95751953125,180.30999755859375,180.5500030517578,177.41000366210938,179.6699981689453,11983800
2024-01-19,185.77597045898438,187.17999267578125,187.30999755859375,181.4199981689453,182.38999938964844,12742400
2024-01-22,186.6394500732422,188.0500030517578,189.97999572753906,186.47000122070312,188.80999755859375,8308900
2024-01-23,187.59225463867188,189.00999450683594,189.1699981689453,186.08999633789062,188.02000427246094,6031200
2024-01-24,190.9270477294922,192.3699951171875,195.3000030517578,190.02000427246094,191.2100067138672,14706600
2024-01-25,190.9270477294922,192.3699951171875,195.89999389648438,191.25,195.8000030517578,11109400
2024-01-26,186.85781860351562,188.27000427246094,190.47000122070312,187.6999969482422,189.16000366210938,9921900
2024-01-29,189.0512237548828,190.47999572753906,190.50999450683594,187.82000732421875,188.72000122070312,8035500
2024-01-30,187.17539978027344,188.58999633789062,190.89999389648438,187.67999267578125,190.11000061035156,6340100
2024-01-31,184.47579956054688,185.8699951171875,188.7100067138672,184.14999389648438,185.72999572753906,10827100
2024-02-01,186.16305541992188,187.57000732421875,188.10000610351562,185.0500030517578,186.72999572753906,6322500
2024-02-02,189.7856903076172,191.22000122070312,191.72999572753906,187.86000061035156,188.22000122070312,7865400
2024-02-05,193.48770141601562,194.9499969482422,195.72000122070312,191.44000244140625,193.5399932861328,8600500
2024-02-06,191.29428100585938,192.74000549316406,195.88999938964844,190.1199951171875,195.85000610351562,8505100
2024-02-07,195.1551055908203,196.6300048828125,196.7899932861328,192.41000366210938,193.6999969482422,7138800
2024-02-08,197.93408203125,199.42999267578125,200.86000061035156,196.82000732421875,197.57000732421875,8963800
2024-02-09,202.32093811035156,203.85000610351562,204.1999969482422,199.77000427246094,201.14999389648438,7642200
2024-02-12,201.536865234375,203.05999755859375,207.1199951171875,201.97000122070312,204.1999969482422,9718900
2024-02-13,197.80506896972656,199.3000030517578,201.55999755859375,196.2899932861328,197.1699981689453,11269600
2024-02-14,201.7750701904297,203.3000030517578,203.91000366210938,200.41000366210938,202.0,7932500
2024-02-15,201.10015869140625,202.6199951171875,204.74000549316406,202.00999450683594,204.60000610351562,7103400
2024-02-16,200.23667907714844,201.75,206.0800018310547,201.2100067138672,204.3300018310547,6273100
2024-02-20,196.2964630126953,197.77999877929688,200.75999450683594,194.64999389648438,200.27000427246094,11318400
2024-02-21,195.03599548339844,196.50999450683594,196.5399932861328,193.72000122070312,195.63999938964844,8624800
2024-02-22,208.35533142089844,209.92999267578125,210.6999969482422,206.3300018310547,207.17999267578125,12445700
2024-02-23,207.05516052246094,208.6199951171875,213.36000061035156,206.97000122070312,212.02999877929688,8526200
2024-02-26,208.77218627929688,210.35000610351562,211.6199951171875,208.8300018310547,210.60000610351562,7552200
2024-02-27,208.16676330566406,209.74000549316406,211.75999450683594,208.83999633789062,211.00999450683594,4969700
2024-02-28,205.854248046875,207.41000366210938,208.75,206.42999267578125,207.61000061035156,4505800
2024-02-29,210.3601837158203,211.9499969482422,212.55999755859375,208.7899932861328,209.8000030517578,6450600
2024-03-01,218.8857421875,220.5399932861328,221.32000732421875,213.97999572753906,214.1199951171875,10273300
2024-03-04,222.40911865234375,224.08999633789062,227.1300048828125,222.6699981689453,224.0,10905100
2024-03-05,219.00485229492188,220.66000366210938,223.22999572753906,218.2899932861328,222.36000061035156,10421000
2024-03-06,224.6521759033203,226.35000610351562,228.75999450683594,223.67999267578125,225.1300048828125,11245400
